transaction_ID,Order_ID,Payment_Method,Transaction_Status
0,e32af09a-b6ab-497e-af3a-331e4d4ed6e7,Debit Card,completed
1,86eb8859-14ab-4d4e-9267-c5826f4e0c8e,Credit Card,completed
2,7379b560-8897-4623-92a2-523ddcdc43a1,PayPal,pending
3,30c57f86-2fed-43c0-a399-654c2c3bb18d,PayPal,completed
4,41c29d81-9622-43c1-b537-7cdb320d3e6a,PayPal,pending
5,0b8915d7-0614-47c4-88be-25aae8fa477b,Debit Card,pending
6,5f05f9e8-57c3-4610-bc41-3c2ccbe3e783,PayPal,completed
7,0abf28e1-7a76-47d5-9d66-2fe2ca920fda,PayPal,completed
8,73129f55-e6fd-45b1-a3ac-fef5fae85dd7,PayPal,completed
9,17647c6b-d1cc-4c86-a1d1-b06641de1574,PayPal,completed
10,a16962fd-0ae2-45cd-bc79-bb5c8fc3c76c,PayPal,pending
11,444dee20-f3e7-4a46-94bf-86f28f3218db,Debit Card,pending
12,2bad61d7-1e00-4280-9c63-851860da9097,Debit Card,completed
13,f4ca896e-9500-4cad-830b-1d4c264d2e17,Debit Card,pending
14,7b10e89e-29e2-49df-951b-cb69f5d63fd7,PayPal,pending
15,596d5762-2de9-4c0f-aa7c-7e6eefefb2fb,Credit Card,pending
16,4e830cf0-ea4b-451d-b5ed-753db1dfe1fc,PayPal,pending
17,0e137c97-97a6-4818-848b-de4c93238bb7,Credit Card,pending
18,069722e1-6803-47af-9c47-b07bc05c7671,PayPal,pending
19,5c3f5e4c-676e-4223-b23d-74e93cb85325,Debit Card,pending
20,18cc409c-c3fe-4a0a-badd-25b7c0bd5e7e,PayPal,pending
21,5584dd7c-bbe9-44f2-8928-5be0cb2b912b,Credit Card,completed
22,e2f1292e-f7d4-4921-9ca1-20d8304b94ab,Credit Card,completed
23,21626bc3-a6b1-4d05-833b-1765a2763852,Debit Card,pending
24,603fcde8-7cd1-4101-9c18-a3b36b435a7c,PayPal,completed
25,96af1605-fe1f-494a-ad0a-77a9c6d3568a,Debit Card,completed
26,ecb2c286-1e0d-468d-a16a-ded8b8624aa0,Credit Card,pending
27,6a7e8bad-7b5d-4f3f-8c9e-5541ccbfbe37,Credit Card,completed
28,430d7413-f257-401f-b302-4354e6b718b4,Debit Card,completed
29,1ad65d13-2045-45e0-b163-645af742e15f,Debit Card,pending
30,7f6d7fd7-c53d-495e-8568-c50e96c7a122,Credit Card,completed
31,57d7cba7-1eeb-4305-8322-a5923f89ec8e,Debit Card,pending
32,18ad0b1e-12ad-49f2-82b4-f6b05970f153,Credit Card,pending
33,997e4481-e229-4217-8442-8c00b89b8b53,PayPal,pending
34,84b0be99-00e5-4607-aa54-12f95f1dcdb0,Credit Card,pending
35,dfe2d902-1fb6-4a4d-ba6b-dba989fb8a2d,PayPal,pending
36,3454381b-011b-4716-881d-d80693be949a,Debit Card,pending
37,1860702a-d1e1-4787-bdcc-22a7c6600e06,Debit Card,completed
38,f5bb251f-db0b-46b0-848c-65aa5b9e9550,Credit Card,completed
39,c61cc74d-2164-408b-898a-acb5e4e44d11,Debit Card,completed
40,04ece03c-e0b0-4ca2-ba08-dd28679ee8d3,Credit Card,pending
41,3bd37a36-78b4-4665-a60e-491c763c40f8,Credit Card,pending
42,c66780f2-8a1e-4fca-870b-181b52cf63cd,Debit Card,completed
43,bc4de080-826e-4788-ba5a-7da88b855264,Credit Card,pending
44,aabd8e91-6eda-4525-b56d-06b0854061a9,PayPal,completed
45,a40613f7-16d2-4d7a-859b-f8012de2ecb2,Credit Card,completed
46,98d53cdf-ccd5-46b3-b922-aa5f1bfd15e2,Debit Card,completed
47,00d4c621-4a00-4647-94f9-74010986f748,Debit Card,completed
48,2eea1c97-7afd-4b9d-b9ac-aebd9b709dfd,Debit Card,completed
49,92ff9371-ea5d-4ec7-9b4e-94a4ffbd7e49,Debit Card,pending
50,155520c0-7774-4203-bcd5-dc3c2466edcc,Debit Card,pending
51,fc5e0698-68cd-4411-98a3-baf3e4d6c5b4,PayPal,pending
52,ab7ddbc5-6ee9-4081-aeb7-88fb3af82b26,Debit Card,pending
53,4f605e9d-47ae-4819-b2c0-a58f467ad3ae,PayPal,pending
54,00345807-1ad9-448f-85db-610cea1bdbb5,PayPal,completed
55,d92b9388-af6c-48d8-a433-060dae45b934,PayPal,completed
56,aac2eb8f-2b26-452f-ae67-7bc83c4d7166,PayPal,completed
57,438ce487-07e7-4a89-ba3d-2c8c04227f16,Debit Card,completed
58,e7db9e18-d543-4189-a7c0-6f559134e8a9,Debit Card,pending
59,3ba80f45-b252-4f4f-867c-a0bd4aaf59ce,Credit Card,pending
